province,capital,region,department,area_(km2),population_2021,density,establishment_year
Azua,Azua,South,Valdesia,2531.77,222610,86.59,1844
Baoruco,Neiba,South,Enriquillo,1282.23,101306,77.4,1943
Barahona,Santa Cruz de Barahona,South,Enriquillo,1739.38,189100,108.49,1881
Dajabón,Dajabón,Cibao,Cibao Noroeste,1020.73,66675,63.95,1938
Duarte,San Francisco de Macorís,Cibao,Cibao Nordeste,1605.35,299583,183.7,1896
El Seibo,Santa Cruz de El Seibo,East,Yuma,1786.8,94049,63.58,1844
Elías Piña,Comendador,South,El Valle,1426.2,63303,35.51,1942
Espaillat,Moca,Cibao,Cibao Norte,838.62,240428,281.97,1885
Hato Mayor,Hato Mayor del Rey,East,Higuamo,1329.29,85747,64.37,1984
Hermanas Mirabal,Salcedo,Cibao,Cibao Nordeste,440.43,92045,209.78,1952
Independencia,Jimaní,South,Enriquillo,2006.44,58951,27.73,1948
La Altagracia,Salvaleón de Higüey,East,Yuma,3010.34,360874,104.61,1944
La Romana,La Romana,East,Yuma,653.95,274894,397.59,1944
La Vega,Concepción de La Vega,Cibao,Cibao Sur,2287.24,412469,176.64,1844
María Trinidad Sánchez,Nagua,Cibao,Cibao Nordeste,1271.71,140954,111.17,1959
Monseñor Nouel,Bonao,Cibao,Cibao Sur,992.39,174959,171.51,1991
Monte Cristi,San Fernando de Monte Cristi,Cibao,Cibao Noroeste,1924.35,117736,59.22,1879
Monte Plata,Monte Plata,East,Higuamo,2632.14,191447,71.68,1991
Pedernales,Pedernales,South,Enriquillo,2074.53,35280,16.12,1957
Peravia,Baní,South,Valdesia,792.33,198499,241.62,1944
Puerto Plata,Puerto Plata,Cibao,Cibao Norte,1852.9,333940,177.29,1850
Samaná,Santa Bárbara de Samaná,Cibao,Cibao Nordeste,853.74,113036,125.62,1867
San Cristóbal,San Cristóbal,South,Valdesia,1265.77,643595,505.93,1932
San José de Ocoa,San José de Ocoa,South,Valdesia,855.4,53833,45.11,2000
San Juan,San Juan de la Maguana,South,El Valle,3569.39,220264,266.12,1938
San Pedro de Macorís,San Pedro de Macorís,East,Higuamo,1255.46,306002,83.66,1907
Sánchez Ramírez,Cotuí,Cibao,Cibao Sur,1196.13,151888,121.09,1952
Santiago,Santiago de los Caballeros,Cibao,Cibao Norte,2836.51,1052088,355.3,1844
Santiago Rodríguez,San Ignacio de Sabaneta,Cibao,Cibao Noroeste,1111.14,57209,51.71,1948
Santo Domingo,Santo Domingo Este,South,Ozama,1301.84,2955339,2036.08,2001
Valverde,Mao,Cibao,Cibao Noroeste,823.38,177865,207.06,1959
Distrito Nacional,Santo Domingo,East,Ozama,104.44,1049567,9651.45,1932
